[trainer] 从零训练：未加载预训练权重
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4L_fold3 fold=3 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4L_fold3] ep4 step121/249 loss=1.6246 {'ds': 0.587, 'seg': 0.795, 'cls': 0.322, 'special': 0.019, 'embed': 9.924}
[g4L_fold3] ep4 step141/249 loss=0.8970 {'ds': 0.47, 'seg': 0.64, 'cls': 0.376, 'special': 0.031, 'embed': 2.066}
[g4L_fold3] ep4 step161/249 loss=1.4228 {'ds': 0.365, 'seg': 0.502, 'cls': 0.674, 'special': 0.012, 'embed': 9.993}
[g4L_fold3] ep4 step181/249 loss=0.4018 {'ds': 0.221, 'seg': 0.268, 'cls': 0.288, 'special': 0.01, 'embed': 0.795}
[g4L_fold3] ep4 step201/249 loss=0.7290 {'ds': 0.211, 'seg': 0.281, 'cls': 0.274, 'special': 0.023, 'embed': 4.977}
[g4L_fold3] ep4 step221/249 loss=0.6195 {'ds': 0.379, 'seg': 0.506, 'cls': 0.431, 'special': 0.024, 'embed': 0.0}
[g4L_fold3] ep4 step241/249 loss=1.0869 {'ds': 0.205, 'seg': 0.266, 'cls': 0.306, 'special': 0.019, 'embed': 9.854}
[g4L_fold3] epoch 4 loss=0.6416 dice_core=0.7916 dice_peri=0.8670 thr=[0.7, 0.55] (814s)
[g4L_fold3] ep5 step21/249 loss=0.6615 {'ds': 0.149, 'seg': 0.156, 'cls': 0.468, 'special': 1.551, 'embed': 0.008}
[g4L_fold3] ep5 step41/249 loss=1.0394 {'ds': 0.18, 'seg': 0.239, 'cls': 0.314, 'special': 0.014, 'embed': 9.58}
[g4L_fold3] ep5 step61/249 loss=1.8053 {'ds': 1.006, 'seg': 1.381, 'cls': 0.278, 'special': 0.02, 'embed': 4.66}
[g4L_fold3] ep5 step81/249 loss=0.6127 {'ds': 0.209, 'seg': 0.26, 'cls': 0.431, 'special': 0.061, 'embed': 3.07}
[g4L_fold3] ep5 step101/249 loss=1.2598 {'ds': 0.332, 'seg': 0.514, 'cls': 0.519, 'special': 0.011, 'embed': 8.174}
[g4L_fold3] ep5 step121/249 loss=0.9600 {'ds': 0.48, 'seg': 0.639, 'cls': 0.43, 'special': 0.013, 'embed': 2.8}
[g4L_fold3] ep5 step141/249 loss=1.3227 {'ds': 0.479, 'seg': 0.657, 'cls': 0.732, 'special': 0.432, 'embed': 4.999}
[g4L_fold3] ep5 step161/249 loss=0.4056 {'ds': 0.213, 'seg': 0.234, 'cls': 0.651, 'special': 0.034, 'embed': 0.0}
[g4L_fold3] ep5 step181/249 loss=0.8774 {'ds': 0.247, 'seg': 0.308, 'cls': 0.361, 'special': 0.03, 'embed': 6.291}
[g4L_fold3] ep5 step201/249 loss=1.3996 {'ds': 0.497, 'seg': 0.562, 'cls': 0.329, 'special': 0.023, 'embed': 9.992}
[g4L_fold3] ep5 step221/249 loss=1.1809 {'ds': 0.256, 'seg': 0.308, 'cls': 0.473, 'special': 0.021, 'embed': 9.997}
[g4L_fold3] ep5 step241/249 loss=1.0382 {'ds': 0.179, 'seg': 0.241, 'cls': 0.36, 'special': 0.009, 'embed': 9.394}
[g4L_fold3] epoch 5 loss=0.6469 dice_core=0.8015 dice_peri=0.8788 thr=[0.75, 0.5] (202s)
[g4L_fold3] ep6 step21/249 loss=0.4387 {'ds': 0.113, 'seg': 0.129, 'cls': 0.323, 'special': 0.026, 'embed': 2.96}
[g4L_fold3] ep6 step41/249 loss=1.6219 {'ds': 0.278, 'seg': 0.326, 'cls': 0.318, 'special': 1.868, 'embed': 9.996}
[g4L_fold3] ep6 step61/249 loss=0.8763 {'ds': 0.22, 'seg': 0.305, 'cls': 0.437, 'special': 0.434, 'embed': 4.718}
[g4L_fold3] ep6 step81/249 loss=0.3472 {'ds': 0.158, 'seg': 0.194, 'cls': 0.388, 'special': 0.226, 'embed': 0.003}
[g4L_fold3] ep6 step101/249 loss=0.7197 {'ds': 0.469, 'seg': 0.595, 'cls': 0.447, 'special': 0.049, 'embed': 0.002}
[g4L_fold3] ep6 step121/249 loss=0.5940 {'ds': 0.212, 'seg': 0.278, 'cls': 0.309, 'special': 0.055, 'embed': 2.997}
[g4L_fold3] ep6 step141/249 loss=2.0940 {'ds': 0.6, 'seg': 0.833, 'cls': 0.334, 'special': 1.713, 'embed': 9.994}
[g4L_fold3] ep6 step161/249 loss=0.9582 {'ds': 0.122, 'seg': 0.145, 'cls': 0.251, 'special': 0.15, 'embed': 9.511}
[g4L_fold3] ep6 step181/249 loss=0.9660 {'ds': 0.145, 'seg': 0.154, 'cls': 0.267, 'special': 0.131, 'embed': 9.5}
[g4L_fold3] ep6 step201/249 loss=0.6245 {'ds': 0.161, 'seg': 0.19, 'cls': 0.432, 'special': 0.008, 'embed': 4.32}
[g4L_fold3] ep6 step221/249 loss=0.5763 {'ds': 0.154, 'seg': 0.221, 'cls': 0.451, 'special': 0.033, 'embed': 3.127}
[g4L_fold3] ep6 step241/249 loss=1.1350 {'ds': 0.231, 'seg': 0.294, 'cls': 0.328, 'special': 0.067, 'embed': 9.904}
[g4L_fold3] epoch 6 loss=0.5839 dice_core=0.8077 dice_peri=0.8861 thr=[0.75, 0.55] (199s)
[g4L_fold3] ep7 step21/249 loss=0.6739 {'ds': 0.165, 'seg': 0.223, 'cls': 0.289, 'special': 0.026, 'embed': 4.97}
[g4L_fold3] ep7 step41/249 loss=1.5610 {'ds': 1.1, 'seg': 1.485, 'cls': 0.268, 'special': 0.037, 'embed': 0.0}
[g4L_fold3] ep7 step61/249 loss=0.4038 {'ds': 0.202, 'seg': 0.282, 'cls': 0.394, 'special': 0.02, 'embed': 0.245}
[g4L_fold3] ep7 step81/249 loss=0.7502 {'ds': 0.146, 'seg': 0.185, 'cls': 0.434, 'special': 0.006, 'embed': 6.065}
[g4L_fold3] ep7 step101/249 loss=1.4913 {'ds': 0.596, 'seg': 0.805, 'cls': 0.325, 'special': 0.028, 'embed': 7.97}
[g4L_fold3] ep7 step121/249 loss=1.1175 {'ds': 0.223, 'seg': 0.271, 'cls': 0.462, 'special': 0.026, 'embed': 9.654}
[g4L_fold3] ep7 step141/249 loss=0.9953 {'ds': 0.222, 'seg': 0.281, 'cls': 0.432, 'special': 0.014, 'embed': 8.042}
[g4L_fold3] ep7 step161/249 loss=0.6568 {'ds': 0.141, 'seg': 0.168, 'cls': 0.411, 'special': 0.024, 'embed': 5.059}
[g4L_fold3] ep7 step181/249 loss=0.7736 {'ds': 0.252, 'seg': 0.312, 'cls': 0.42, 'special': 0.015, 'embed': 4.709}
[g4L_fold3] ep7 step201/249 loss=0.8994 {'ds': 0.477, 'seg': 0.648, 'cls': 0.596, 'special': 0.015, 'embed': 1.315}
[g4L_fold3] ep7 step221/249 loss=0.3716 {'ds': 0.186, 'seg': 0.243, 'cls': 0.343, 'special': 0.016, 'embed': 0.523}
[g4L_fold3] ep7 step241/249 loss=0.8296 {'ds': 0.531, 'seg': 0.714, 'cls': 0.388, 'special': 0.01, 'embed': 0.211}
[g4L_fold3] epoch 7 loss=0.5379 dice_core=0.8137 dice_peri=0.8926 thr=[0.8, 0.55] (191s)
[g4L_fold3] ep8 step21/249 loss=1.4118 {'ds': 0.734, 'seg': 0.93, 'cls': 1.132, 'special': 0.008, 'embed': 2.62}
