[trainer] 断点续训：epoch 78/100
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep82 step81/249 loss=0.2913 {'ds': 0.156, 'seg': 0.215, 'cls': 0.306, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep82 step101/249 loss=1.0131 {'ds': 0.475, 'seg': 0.917, 'cls': 0.385, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep82 step121/249 loss=0.3177 {'ds': 0.16, 'seg': 0.22, 'cls': 0.388, 'special': 0.0, 'embed': 0.009}
[g4_fold1] ep82 step141/249 loss=0.3400 {'ds': 0.148, 'seg': 0.203, 'cls': 0.545, 'special': 0.0, 'embed': 0.01}
[g4_fold1] ep82 step161/249 loss=0.1487 {'ds': 0.079, 'seg': 0.098, 'cls': 0.194, 'special': 0.0, 'embed': 0.029}
[g4_fold1] ep82 step181/249 loss=0.4022 {'ds': 0.245, 'seg': 0.325, 'cls': 0.308, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep82 step201/249 loss=0.1958 {'ds': 0.101, 'seg': 0.126, 'cls': 0.265, 'special': 0.0, 'embed': 0.04}
[g4_fold1] ep82 step221/249 loss=0.1835 {'ds': 0.086, 'seg': 0.109, 'cls': 0.259, 'special': 0.0, 'embed': 0.135}
[g4_fold1] ep82 step241/249 loss=0.7612 {'ds': 0.212, 'seg': 0.288, 'cls': 0.347, 'special': 0.001, 'embed': 5.151}
[g4_fold1] epoch 82 loss=0.2856 dice_core=0.9131 dice_peri=0.9545 thr=[0.35, 0.5] (768s)
[g4_fold1] ep83 step21/249 loss=0.5783 {'ds': 0.311, 'seg': 0.428, 'cls': 0.593, 'special': 0.006, 'embed': 0.001}
[g4_fold1] ep83 step41/249 loss=0.5950 {'ds': 0.355, 'seg': 0.476, 'cls': 0.472, 'special': 0.001, 'embed': 0.01}
[g4_fold1] ep83 step61/249 loss=0.4810 {'ds': 0.094, 'seg': 0.134, 'cls': 0.566, 'special': 0.0, 'embed': 2.735}
[g4_fold1] ep83 step81/249 loss=0.5326 {'ds': 0.172, 'seg': 0.237, 'cls': 0.776, 'special': 0.005, 'embed': 1.34}
[g4_fold1] ep83 step101/249 loss=0.5987 {'ds': 0.324, 'seg': 0.45, 'cls': 0.591, 'special': 0.004, 'embed': 0.0}
[g4_fold1] ep83 step121/249 loss=0.3524 {'ds': 0.246, 'seg': 0.257, 'cls': 0.373, 'special': 0.0, 'embed': 0.028}
[g4_fold1] ep83 step141/249 loss=0.2094 {'ds': 0.085, 'seg': 0.118, 'cls': 0.361, 'special': 0.0, 'embed': 0.017}
[g4_fold1] ep83 step161/249 loss=0.5442 {'ds': 0.332, 'seg': 0.449, 'cls': 0.357, 'special': 0.016, 'embed': 0.028}
[g4_fold1] ep83 step181/249 loss=0.2471 {'ds': 0.113, 'seg': 0.163, 'cls': 0.326, 'special': 0.009, 'embed': 0.011}
[g4_fold1] ep83 step201/249 loss=0.5517 {'ds': 0.311, 'seg': 0.435, 'cls': 0.371, 'special': 0.002, 'embed': 0.315}
[g4_fold1] ep83 step221/249 loss=0.6378 {'ds': 0.143, 'seg': 0.191, 'cls': 0.308, 'special': 0.012, 'embed': 4.895}
[g4_fold1] ep83 step241/249 loss=0.5906 {'ds': 0.311, 'seg': 0.433, 'cls': 0.626, 'special': 0.001, 'embed': 0.008}
[g4_fold1] epoch 83 loss=0.3109 dice_core=0.9117 dice_peri=0.9545 thr=[0.35, 0.5] (849s)
[g4_fold1] ep84 step21/249 loss=0.3453 {'ds': 0.099, 'seg': 0.129, 'cls': 0.306, 'special': 0.0, 'embed': 1.865}
[g4_fold1] ep84 step41/249 loss=0.3284 {'ds': 0.204, 'seg': 0.24, 'cls': 0.352, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep84 step61/249 loss=0.4815 {'ds': 0.069, 'seg': 0.098, 'cls': 0.248, 'special': 0.0, 'embed': 4.284}
[g4_fold1] ep84 step81/249 loss=0.2694 {'ds': 0.111, 'seg': 0.15, 'cls': 0.476, 'special': 0.0, 'embed': 0.003}
[g4_fold1] ep84 step101/249 loss=0.5487 {'ds': 0.283, 'seg': 0.38, 'cls': 0.352, 'special': 0.0, 'embed': 1.075}
[g4_fold1] ep84 step121/249 loss=0.5820 {'ds': 0.11, 'seg': 0.147, 'cls': 0.223, 'special': 0.0, 'embed': 5.063}
[g4_fold1] ep84 step141/249 loss=0.2822 {'ds': 0.127, 'seg': 0.172, 'cls': 0.438, 'special': 0.001, 'embed': 0.002}
[g4_fold1] ep84 step161/249 loss=0.1635 {'ds': 0.072, 'seg': 0.092, 'cls': 0.281, 'special': 0.0, 'embed': 0.02}
[g4_fold1] ep84 step181/249 loss=0.6803 {'ds': 0.239, 'seg': 0.317, 'cls': 0.649, 'special': 0.0, 'embed': 2.686}
[g4_fold1] ep84 step201/249 loss=0.2947 {'ds': 0.12, 'seg': 0.16, 'cls': 0.537, 'special': 0.0, 'embed': 0.014}
[g4_fold1] ep84 step221/249 loss=0.1894 {'ds': 0.087, 'seg': 0.113, 'cls': 0.299, 'special': 0.0, 'embed': 0.021}
[g4_fold1] ep84 step241/249 loss=0.2769 {'ds': 0.124, 'seg': 0.176, 'cls': 0.34, 'special': 0.0, 'embed': 0.21}
[g4_fold1] epoch 84 loss=0.2889 dice_core=0.9109 dice_peri=0.9541 thr=[0.35, 0.5] (821s)
[g4_fold1] ep85 step21/249 loss=0.3273 {'ds': 0.189, 'seg': 0.243, 'cls': 0.334, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep85 step41/249 loss=0.1957 {'ds': 0.077, 'seg': 0.109, 'cls': 0.339, 'special': 0.0, 'embed': 0.021}
[g4_fold1] ep85 step61/249 loss=0.6632 {'ds': 0.366, 'seg': 0.502, 'cls': 0.562, 'special': 0.001, 'embed': 0.269}
[g4_fold1] ep85 step81/249 loss=0.2138 {'ds': 0.067, 'seg': 0.089, 'cls': 0.485, 'special': 0.0, 'embed': 0.041}
[g4_fold1] ep85 step101/249 loss=0.2986 {'ds': 0.146, 'seg': 0.185, 'cls': 0.451, 'special': 0.001, 'embed': 0.007}
[g4_fold1] ep85 step121/249 loss=0.2293 {'ds': 0.106, 'seg': 0.144, 'cls': 0.339, 'special': 0.0, 'embed': 0.002}
